WMSMVSTD;Mouvements par article;ELEONETECH;16/04/2026;13:37:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;---;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONSSMV1;Mouvements par article;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sélection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FCY;Site;AZB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZFCY; ;ELEONETECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITMREF;Article;PRC00001220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZITMREF; ;Huile Compressor 20L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTSEL;Lot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTBLK;Lot blanc;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERNUMSTR;Série début;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERNUMEND;Série fin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INQLTI;Durée consultation;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SRTCOD;Ordre de tri;Date imputation (-);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;---;---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WMSMVSTD;Mouvements par article;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOFCY;IPTDAT;LOT;PCU;QTYPCU;STU;QTYSTU;STA;LOC;SLO;SERNUM;BEFSTO;SERFIN;AFTSTO;QLYCTLDEM;TRSTYP;MVTDES;PJT;DLUDAT;NEWLTIDAT;BPRNUM;VCRTYPTXT;VCRNUM;VCRLIN;VCRTYPORIT;VCRNUMORI;VCRLINORI;BPSLOT;SHLDAT;ACTQTY;POT;OWNER;PCUORI;BETCPY;PCUSTUORI;ACCCUR;AMTORD;AMTVAL;VARORD;VARVAL;PRIORD;PRIVAL;PRINAT;AMTDEV;TRSFAM;NUMVCR;GTE;CREUSR;CREDAT;CRETIM;CCE1;PALNUM;CTRNUM
Site;Imputation;Lot;UC;Quantité;US;Quantité US;Statut;Emplacement;S/lot;Série début;Stock avant;Série fin;Stock après;Dem analyse;Type mouvement;Désignation mvt;Affaire;DLU;Recontrôle;Tiers;Type pièce;Pièce;No ligne;Type pièce origine;Pièce origine;No ligne pièce orig;Lot fourn;Péremption;Quantité active;Titre;Propriétaire;UC origine;Inter-sociétés;Coeff. origine;Devise;Montant ordre;Montant mouvement;Variation ordre;Variation mouvement;Prix ordre;Prix valorisé;Nature prix origine;Ecart non absorbé;Famille mouvement stock;Pièce comptable;Type de pièce;Opérateur création;Date création;Heure;Analytique;Identifiant 1;Identifiant 2
AZB;31/03/2026;;UN;-2;UN;-2;A;CHR001E02;;;2;;0;;Sortie diverse;;;31/12/2999;31/12/2999;;Sortie diverse;SOM20261445672;1000;;;0;;31/12/2999;-2;0;AZB;UN;Non;1;TND;-1440;-1440;-1440;-1440;720;720;Prix moyen pondéré;0;SDV;;;IBMA;31/03/2026;1425;1511;;
AZB;26/03/2026;;UN;1;UN;1;Q;CHR001E01;;;1;;2;QUA-AZB260304645;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2600439;4000;Commande achat;BC2691389;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;720;720;720;720;720;720;Prix ordre;0;;;;WATO;26/03/2026;1431;;;
AZB;26/03/2026;;UN;1;UN;1;Q;CHR001E02;;;0;;1;QUA-AZB260304645;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2600439;1000;Commande achat;BC2691821;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;720;720;720;720;720;720;Prix ordre;0;;;;WATO;26/03/2026;1212;;;
AZB;25/12/2025;;UN;-1;UN;-1;A;CHR001E02;;;1;;0;;Sortie diverse;61423;;31/12/2999;31/12/2999;;Sortie diverse;SOM20255245470;3000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-700;-700;-700;-700;700;700;Prix moyen pondéré;0;SDV;;;MOAY;25/12/2025;906;2206;;
AZB;28/11/2025;;UN;1;UN;1;Q;CHR001E02;;;0;;1;QUA-AZB251106610;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2555219;1000;Commande achat;BC2590722;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;700;700;700;700;700;700;Prix ordre;0;;;;WATO;28/11/2025;1450;;;
AZB;06/11/2025;;UN;-1;UN;-1;A;CHR001E03;;;1;;0;;Sortie diverse;58655;;31/12/2999;31/12/2999;;Sortie diverse;SOM20254545335;40000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-693,33;-693,33;-693,33;-693,33;693,33333;693,33333;Prix moyen pondéré;0;SDV;;;MOAY;07/11/2025;953;2214;;
AZB;06/11/2025;;UN;-1;UN;-1;A;CHR001E02;;;2;;1;;Sortie diverse;58655;;31/12/2999;31/12/2999;;Sortie diverse;SOM20254545335;40000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-693,33;-693,33;-693,33;-693,33;693,33333;693,33333;Prix moyen pondéré;0;SDV;;;MOAY;07/11/2025;953;2214;;
AZB;06/11/2025;;UN;-1;UN;-1;A;CHR001E01;;;3;;2;;Sortie diverse;58655;;31/12/2999;31/12/2999;;Sortie diverse;SOM20254545335;40000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-693,33;-693,33;-693,33;-693,33;693,33333;693,33333;Prix moyen pondéré;0;SDV;;;MOAY;07/11/2025;953;2214;;
AZB;06/11/2025;;UN;1;UN;1;Q;CHR001E03;;;2;;3;QUA-AZB251101270;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2554451;1000;Commande achat;BC2589757;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;700;700;700;700;700;700;Prix ordre;0;;;;WATO;06/11/2025;1117;;;
AZB;15/10/2025;;UN;1;UN;1;Q;CHR001E01;;;1;;2;QUA-AZB251003295;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2553770;1000;Commande achat;BC2590061;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;700;700;700;700;700;700;Prix ordre;0;;;;WATO;15/10/2025;1356;;;
AZB;02/09/2025;;UN;1;UN;1;Q;CHR001E02;;;0;;1;QUA-AZB250900291;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2552409;3000;Commande achat;BC2589173;2000;;31/12/2999;1;0;AZB;UN;Non;1;TND;680;680;680;680;680;680;Prix ordre;0;;;;WATO;02/09/2025;1554;;;
AZB;11/06/2025;;UN;-1;UN;-1;A;CHR001E01;;;1;;0;;Sortie diverse;54026;;31/12/2999;31/12/2999;;Sortie diverse;SOM20252444967;35000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-680;-680;-680;-680;680;680;Prix moyen pondéré;0;SDV;;;MOAY;11/06/2025;1005;2214;;
AZB;04/06/2025;;UN;1;UN;1;Q;CHR001E01;;;0;;1;QUA-AZB250600774;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2549591;1000;Commande achat;BC2588429;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;680;680;680;680;680;680;Prix ordre;0;;;;WATO;04/06/2025;945;;;
AZB;15/04/2025;;UN;-3;UN;-3;A;CHR001E01;;;3;;0;;Sortie diverse;56896;;31/12/2999;31/12/2999;;Sortie diverse;SOM20251644918;38000;;;0;;31/12/2999;-3;0;AZB;UN;Non;1;TND;-1130;-1130;-1130;-1130;376,66666;376,66666;Prix moyen pondéré;0;SDV;;;MOAY;15/04/2025;1517;2209;;
AZB;15/04/2025;;UN;2;UN;2;Q;CHR001E01;;;1;;3;QUA-AZB250403030;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2547975;2000;Commande achat;BC2587678;2000;;31/12/2999;2;0;AZB;UN;Non;1;TND;450;450;450;450;225;225;Prix ordre;0;;;;WATO;15/04/2025;1457;;;
AZB;15/04/2025;;UN;1;UN;1;Q;CHR001E01;;;0;;1;QUA-AZB250403030;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2547975;1000;Commande achat;BC2587678;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;680;680;680;680;680;680;Prix ordre;0;;;;WATO;15/04/2025;1457;;;
AZB;07/03/2025;;UN;-1;UN;-1;A;CHR001E01;;;1;;0;;Sortie diverse;56377;;31/12/2999;31/12/2999;;Sortie diverse;SOM20251044890;30000;;;0;;31/12/2999;-1;0;AZB;UN;Non;1;TND;-680;-680;-680;-680;680;680;Prix moyen pondéré;0;SDV;;;MOAY;07/03/2025;1352;1511;;
AZB;17/02/2025;;UN;1;UN;1;Q;CHR001E01;;;0;;1;QUA-AZB250203464;Réception fournisseur;;;31/12/2999;31/12/2999;FL610;Réception;RCT2546029;1000;Commande achat;BC2587167;1000;;31/12/2999;1;0;AZB;UN;Non;1;TND;680;680;680;680;680;680;Prix ordre;0;;;;WATO;17/02/2025;1114;;;
